DEBUG 2023-12-31 15:24:12,441 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/qrcode/compat/__init__.py first seen with mtime 1690287938.6682901
DEBUG 2023-12-31 15:24:12,441 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/sparse/linalg/_isolve/_gcrotmk.py first seen with mtime 1690278918.4294443
DEBUG 2023-12-31 15:24:12,441 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/charset_normalizer/models.py first seen with mtime 1690278914.6465364
DEBUG 2023-12-31 15:24:12,441 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/codecarbon/core/cloud.py first seen with mtime 1698662940.0417554
DEBUG 2023-12-31 15:24:12,441 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/functools.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,441 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/numpy/polynomial/_polybase.py first seen with mtime 1700316896.372961
DEBUG 2023-12-31 15:24:12,441 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/string.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,441 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/core/checks/model_checks.py first seen with mtime 1690275853.1197603
DEBUG 2023-12-31 15:24:12,441 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pandas/core/tools/__init__.py first seen with mtime 1690278764.1836133
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/utils/__init__.py first seen with mtime 1690275853.262236
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1690275853.1067061
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pandas/core/window/doc.py first seen with mtime 1690278764.222372
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/interpolate/fitpack2.py first seen with mtime 1690278918.343413
DEBUG 2023-12-31 15:24:12,442 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/quopri.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/admin/views/main.py first seen with mtime 1690275852.0889587
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/psycopg2/_range.py first seen with mtime 1703441641.0009258
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/core/cache/utils.py first seen with mtime 1690275853.1142347
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pytz/tzfile.py first seen with mtime 1690275894.024486
DEBUG 2023-12-31 15:24:12,442 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/yaml/resolver.py first seen with mtime 1690290865.9148488
DEBUG 2023-12-31 15:24:12,442 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/platform.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1690275852.0864022
DEBUG 2023-12-31 15:24:12,443 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_json.cpython-38-darwin.so first seen with mtime 1582584950.0
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/rest_framework/renderers.py first seen with mtime 1690275894.2794564
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/optimize/_zeros_py.py first seen with mtime 1690278917.7666826
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/numpy/matrixlib/defmatrix.py first seen with mtime 1700316896.3663042
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/stats/_continuous_distns.py first seen with mtime 1690278918.5848897
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/http/multipartparser.py first seen with mtime 1690275853.2379305
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/numpy/random/bit_generator.cpython-38-darwin.so first seen with mtime 1700316896.3267694
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/special/basic.py first seen with mtime 1690278918.020882
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/sparse/linalg/_eigen/arpack/arpack.py first seen with mtime 1690278918.4131274
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pandas/core/dtypes/astype.py first seen with mtime 1690278764.193843
DEBUG 2023-12-31 15:24:12,443 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/weakref.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/postgres/search.py first seen with mtime 1690275852.7423255
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/_lib/_finite_differences.py first seen with mtime 1690278917.98131
DEBUG 2023-12-31 15:24:12,443 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/optimize/_lbfgsb_py.py first seen with mtime 1690278917.7662063
DEBUG 2023-12-31 15:24:12,444 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/fractions.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pandas/core/arrays/base.py first seen with mtime 1690278764.2327778
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/uritemplate/orderedset.py first seen with mtime 1690290865.8887177
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/sparse/linalg/matfuncs.py first seen with mtime 1690278918.4031963
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/sparse/base.py first seen with mtime 1690278918.3974602
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/spatial/_distance_pybind.cpython-38-darwin.so first seen with mtime 1690278918.474381
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/dateutil/tz/tz.py first seen with mtime 1690278761.054696
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/charset_normalizer/version.py first seen with mtime 1690278914.6449816
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1690275852.3142726
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/optimize/_trustregion_exact.py first seen with mtime 1690278917.7828124
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/stats/_biasedurn.cpython-38-darwin.so first seen with mtime 1690278918.5910912
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/uritemplate/api.py first seen with mtime 1690290865.8883607
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/sparse/_bsr.py first seen with mtime 1690278918.389799
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/sqlparse/filters/__init__.py first seen with mtime 1690275851.4951477
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/messages/api.py first seen with mtime 1690275852.73344
DEBUG 2023-12-31 15:24:12,444 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/views/generic/base.py first seen with mtime 1690275853.2853668
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1690275852.0878234
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/urllib3/util/proxy.py first seen with mtime 1690278914.1814826
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/db/models/base.py first seen with mtime 1690275853.1863294
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/numpy/testing/_private/utils.py first seen with mtime 1700316896.230005
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/views/decorators/common.py first seen with mtime 1690275853.283079
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/api/views.py first seen with mtime 1704029757.2568405
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/postgres/validators.py first seen with mtime 1690275852.7436783
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/stats/_rcont/rcont.cpython-38-darwin.so first seen with mtime 1690278918.6201642
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/codecarbon/core/emissions.py first seen with mtime 1698662940.0434878
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/urls/base.py first seen with mtime 1690275853.2595317
DEBUG 2023-12-31 15:24:12,445 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_random.cpython-38-darwin.so first seen with mtime 1582584951.0
DEBUG 2023-12-31 15:24:12,445 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/optimize/_root.py first seen with mtime 1690278917.756971
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/rest_framework/checks.py first seen with mtime 1690275894.2732072
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/utils.py first seen with mtime 1690275163.8163748
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/numpy/polynomial/__init__.py first seen with mtime 1700316896.3788784
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/utils/connection.py first seen with mtime 1690275853.2651255
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/numpy/fft/_pocketfft.py first seen with mtime 1700316896.2930176
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/requests/models.py first seen with mtime 1690278914.7180772
